date,Wed Apr 26 2017 21:52:42 GMT+0000 (UTC),time,2196
date,Wed Apr 26 2017 21:53:01 GMT+0000 (UTC),time,3014
date,Wed Apr 26 2017 21:53:18 GMT+0000 (UTC),time,2275
date,Wed Apr 26 2017 21:53:38 GMT+0000 (UTC),time,2239
date,Wed Apr 26 2017 21:53:57 GMT+0000 (UTC),time,2228
date,Wed Apr 26 2017 21:54:18 GMT+0000 (UTC),time,2243
date,Wed Apr 26 2017 21:54:37 GMT+0000 (UTC),time,2056
date,Wed Apr 26 2017 21:55:00 GMT+0000 (UTC),time,2694
date,Wed Apr 26 2017 21:55:22 GMT+0000 (UTC),time,2173
date,Wed Apr 26 2017 21:55:38 GMT+0000 (UTC),time,2302
date,Wed Apr 26 2017 21:55:59 GMT+0000 (UTC),time,2275
date,Wed Apr 26 2017 21:56:18 GMT+0000 (UTC),time,2130
date,Wed Apr 26 2017 21:56:38 GMT+0000 (UTC),time,2160
date,Wed Apr 26 2017 21:56:59 GMT+0000 (UTC),time,2132
date,Wed Apr 26 2017 21:57:22 GMT+0000 (UTC),time,2362
date,Wed Apr 26 2017 21:57:40 GMT+0000 (UTC),time,2581
date,Wed Apr 26 2017 21:58:00 GMT+0000 (UTC),time,2359
date,Wed Apr 26 2017 21:58:20 GMT+0000 (UTC),time,2085
date,Wed Apr 26 2017 21:58:39 GMT+0000 (UTC),time,2154
date,Wed Apr 26 2017 21:59:03 GMT+0000 (UTC),time,3071
date,Wed Apr 26 2017 21:59:21 GMT+0000 (UTC),time,2795
date,Wed Apr 26 2017 21:59:39 GMT+0000 (UTC),time,2411
date,Wed Apr 26 2017 22:00:04 GMT+0000 (UTC),time,4186
date,Wed Apr 26 2017 22:00:21 GMT+0000 (UTC),time,3698
date,Wed Apr 26 2017 22:00:39 GMT+0000 (UTC),time,3329
date,Wed Apr 26 2017 22:01:04 GMT+0000 (UTC),time,3494
date,Wed Apr 26 2017 22:01:18 GMT+0000 (UTC),time,2595
date,Wed Apr 26 2017 22:01:39 GMT+0000 (UTC),time,3114
date,Wed Apr 26 2017 22:02:01 GMT+0000 (UTC),time,2834
date,Wed Apr 26 2017 22:02:17 GMT+0000 (UTC),time,2146
date,Wed Apr 26 2017 22:02:38 GMT+0000 (UTC),time,2371
date,Wed Apr 26 2017 22:02:58 GMT+0000 (UTC),time,1897
date,Wed Apr 26 2017 22:03:18 GMT+0000 (UTC),time,2277
date,Wed Apr 26 2017 22:03:37 GMT+0000 (UTC),time,1709
date,Wed Apr 26 2017 22:03:58 GMT+0000 (UTC),time,2056
date,Wed Apr 26 2017 22:04:25 GMT+0000 (UTC),time,2736
date,Wed Apr 26 2017 22:04:40 GMT+0000 (UTC),time,2051
date,Wed Apr 26 2017 22:05:00 GMT+0000 (UTC),time,2494
date,Wed Apr 26 2017 22:05:20 GMT+0000 (UTC),time,2408
date,Wed Apr 26 2017 22:05:40 GMT+0000 (UTC),time,1881
date,Wed Apr 26 2017 22:06:01 GMT+0000 (UTC),time,1970
date,Wed Apr 26 2017 22:06:19 GMT+0000 (UTC),time,2010
date,Wed Apr 26 2017 22:06:42 GMT+0000 (UTC),time,2158
date,Wed Apr 26 2017 22:06:58 GMT+0000 (UTC),time,2240
date,Wed Apr 26 2017 22:07:19 GMT+0000 (UTC),time,2246
